state_code,state_name,derived_grid_factor_tco2e_per_mwh,confidence,status,methodology
"GJ","Gujarat",0.72,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"MH","Maharashtra",0.74,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"TN","Tamil Nadu",0.7,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"KA","Karnataka",0.62,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"DL","Delhi",0.71,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"WB","West Bengal",0.88,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"KL","Kerala",0.48,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"AP","Andhra Pradesh",0.73,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"TS","Telangana",0.75,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"UP","Uttar Pradesh",0.76,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"RJ","Rajasthan",0.73,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"PB","Punjab",0.71,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"HR","Haryana",0.72,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"OR","Odisha",0.82,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
"CH","Chhattisgarh",0.8,"MEDIUM","DERIVED_TRANSPARENT","State regional generation-mix simulation model"
