legacy_key,legacy_value,legacy_source,verified_source,exact_source_record,source_version,source_year,source_boundary,geography,new_value,unit,difference_pct,status,action,notes
"grid_india",0.716,"CEA CO2 Baseline Database (unverified vintage)","SRC-CEA-V21","CO2 Baseline Database v21.0 / User Guide Table 1: Weighted Average Emission Factor (incl. RES)","21.0",FY2023-24,"location-based grid electricity","India",0.716,"tCO2e/MWh",0.00%,"VERIFIED_OFFICIAL","REPLACE","Verified against primary authoritative source."
"grid_state_gj",0.72,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Gujarat",0.72,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_mh",0.74,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Maharashtra",0.74,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_tn",0.7,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Tamil Nadu",0.7,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_ka",0.62,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Karnataka",0.62,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_dl",0.71,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Delhi",0.71,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_wb",0.88,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","West Bengal",0.88,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_kl",0.48,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Kerala",0.48,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_ap",0.73,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Andhra Pradesh",0.73,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_ts",0.75,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Telangana",0.75,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
