intervention_id,name,category,target_stream,abatement_low_pct,abatement_base_pct,abatement_high_pct,abatement_unit,capex_inr,savings_model,payback_months,lifetime_years,downtime_days,difficulty,technology,dpr_source,verification_status
"INT-01","Waste Heat Recovery (Boiler / Furnace Flue Gas Economizer)","energy_efficiency","flue_gas_heat",6,12,18,"% thermal energy saved",1800000,"Direct fuel consumption reduction via feedwater preheating",14,10,3,2,"Shell-and-tube / finned tube heat exchanger","BEE-SIDHIEE-DPR-WHR-2024","VERIFIED_GOVERNMENT"
"INT-02","IE4 Super Premium Efficiency Motor Retrofit","energy_efficiency","motor_electricity",4,7.5,11,"% motor electricity saved",320000,"Core loss reduction per IEC 60034-30-1 standard curve",18,15,1,1,"Line-start permanent magnet / synchronous reluctance IE4 motor","BEE-ADEETIE-TECH-MOT-04","VERIFIED_GOVERNMENT"
"INT-03","Variable Frequency Drive (VFD) on Centrifugal Fans & Pumps","energy_efficiency","fan_pump_electricity",15,25,35,"% drive electricity saved",450000,"Affinity laws: Power proportional to cube of rotational speed",11,10,1,1,"IGBT PWM Inverter with closed-loop pressure transducer","BEE-SIDHIEE-DPR-VFD-08","VERIFIED_GOVERNMENT"
"INT-04","Coal-to-Biomass Briquette Boiler Fuel Switching","fuel_switching","boiler_thermal",60,82,95,"% net fossil GHG footprint reduction",850000,"IPCC Biogenic CO2 neutrality substitution",8,12,4,2,"Grate modification and multi-cyclone dust collector retrofit","BEE-ADEETIE-TECH-BIO-02","VERIFIED_GOVERNMENT"
"INT-05","Rooftop Solar PV (CAPEX / RESCO Model)","renewable_energy","grid_electricity",20,35,50,"% Scope 2 grid displacement",4200000,"Solar generation offset at Indian location grid 0.716 tCO2/MWh",36,25,0,2,"Mono-PERC 545W bifacial modules with string inverters","MNRE-Rooftop-Industrial-Guidelines-2024","VERIFIED_GOVERNMENT"
"INT-06","Compressed Air Leak Auditing & Ultrasound Elimination","energy_efficiency","compressed_air",12,20,30,"% compressor electricity saved",65000,"Nozzle orifice leakage reduction at 7 bar line pressure",2,3,0,1,"Ultrasonic acoustic imaging leak detector & push-in fittings","BEE-SIDHIEE-AIR-01","VERIFIED_GOVERNMENT"
"INT-07","Fly Ash Blended PPC Substitution for OPC 53 Cement","circular_material","embodied_clinker",25,32.5,38,"% embodied carbon saved per tonne cement",0,"Raw material substitution per BIS IS 1489 Part 1",0,50,0,1,"Class F Fly ash pozzolanic activation","MoEFCC-Fly-Ash-Notification-2021","VERIFIED_OFFICIAL"
"INT-08","Scrap-EAF Circular Rebar Substitution for BF-BOF","circular_material","embodied_steel",70,77.3,82,"% embodied carbon reduction (1.98 -> 0.45 tCO2e/t)",0,"worldsteel EAF circular secondary scrap route",0,50,0,1,"Secondary melting scrap EAF route with ladle refining","worldsteel-LCI-Eco-profiles-2025","VERIFIED_INDUSTRY_LCI"
"INT-09","Waste Foundry Core Sand Regeneration & Reclamation","circular_byproduct","hazardous_waste_sand",70,85,95,"% virgin silica sand mining & disposal avoided",3500000,"Mechanical scrubbing and thermal reclamation of resin sand",20,15,5,3,"Fluidized bed thermal reclamation unit with dust extraction","CPCB-Foundry-Waste-Management-Guidelines","VERIFIED_OFFICIAL"
"INT-10","Spent Solvent Distillation & Onsite Closed-Loop Recovery","circular_material","spent_solvents",75,88,94,"% virgin solvent consumption avoided",2800000,"Vacuum batch fractional distillation",16,12,3,3,"SS316 vacuum fractional distillation column with reflux control","CPCB-Hazardous-Waste-Solvent-Recovery-2022","VERIFIED_OFFICIAL"
