intervention_id,intervention_name,category,target_stream,abatement_low_fraction,abatement_base_fraction,abatement_high_fraction,abatement_unit,abatement_source_id,capex_basis,capex_inr,savings_model,asset_lifetime_years,max_substitution_fraction,blocked_sectors,sector_caps,difficulty_score_1_to_5,disruption_downtime_days,confidence_tier,planning_grade_capex,actual_vendor_quote_required
"INT-COMP-AIR","Compressed Air Ultrasonic Leak Detection & Tagged Repair","energy","electricity",0.02,0.04,0.065,"fraction_of_target_stream","SRC-BEE-MAPPING","fixed_survey_kit",120000,"avoided_purchase",3,,"[]","{}",1,0,"HIGH",true,true
"INT-VFD","Variable Frequency Drives on Draft Fans and Pumping Loops","energy","electricity",0.05,0.08,0.12,"fraction_of_target_stream","SRC-BEE-MAPPING","per_kw",350000,"avoided_purchase",10,,"[]","{}",2,1,"HIGH",true,true
"INT-IE4-MOTOR","IE4 Super Premium Efficiency Motor Retrofits","energy","electricity",0.03,0.05,0.07,"fraction_of_target_stream","SRC-IEC-60034","per_unit",480000,"avoided_purchase",12,,"[]","{}",2,1,"HIGH",true,true
"INT-LED-LIGHTING","Industrial High-Bay LED Retrofit & Occupancy Sensors","energy","electricity",0.015,0.025,0.04,"fraction_of_target_stream","SRC-BEE-MAPPING","plant_area",150000,"avoided_purchase",5,,"[]","{}",1,0,"HIGH",true,true
"INT-IDLE-SHUTDOWN","Automated Non-Operational Load Interlocking & Sub-metering","energy","electricity",0.02,0.045,0.06,"fraction_of_target_stream","SRC-BEE-MAPPING","controls",95000,"avoided_purchase",5,,"[]","{}",1,0,"MEDIUM",true,true
"INT-SOLAR-ROOFTOP","Captive Rooftop Solar PV Installation","energy","electricity",0.15,0.25,0.35,"fraction_of_target_stream","SRC-BEE-MAPPING","per_kwp",21700000,"avoided_purchase",25,,"[]","{}",3,3,"HIGH",true,true
"INT-OPEN-ACCESS","Group Captive / Green Open Access PPA","energy","electricity",0.3,0.5,0.7,"fraction_of_target_stream","SRC-BEE-MAPPING","equity_collateral",2500000,"tariff_delta",15,,"[]","{}",4,0,"MEDIUM",true,true
"INT-BOILER-ECONOMIZER","Flue Gas Waste Heat Recovery Economizer for Steam Boiler","energy","thermal_fuel",0.04,0.06,0.08,"fraction_of_target_stream","SRC-BEE-MAPPING","per_boiler",650000,"avoided_purchase",10,,"[]","{}",2,2,"HIGH",true,true
"INT-STEAM-TRAP","Steam Trap Maintenance, Acoustic Testing & Insulation","energy","thermal_fuel",0.03,0.05,0.08,"fraction_of_target_stream","SRC-BEE-MAPPING","network",180000,"avoided_purchase",4,,"[]","{}",1,0,"HIGH",true,true
"INT-WHR-KILN","Hot Air Recirculation & Kiln Waste Heat Recovery","energy","thermal_fuel",0.06,0.1,0.14,"fraction_of_target_stream","SRC-BEE-MAPPING","ductwork",1250000,"avoided_purchase",8,,"[""pharma_formulation"",""plastic_moulding""]","{}",3,4,"MEDIUM",true,true
"INT-BIOMASS-SWITCH","Fuel Switch from Coal to Agricultural Residue Briquettes","energy","thermal_fuel",0.7,0.85,0.95,"fraction_of_target_stream","SRC-BEE-MAPPING","burner_mod",850000,"fuel_switch",8,1,"[""ceramics""]","{}",3,3,"HIGH",true,true
"INT-REC-ALUM","Secondary / Recycled Aluminium Alloy Ingot Substitution","material","mat_aluminium",0.9,0.95,0.96,"fraction_of_target_stream","SRC-IAI-2022","blending_system",300000,"price_delta",10,0.7,"[]","{}",2,1,"HIGH",true,true
