intervention_id,intervention_name,category,target_stream,applicable_sectors,abatement_low_fraction,abatement_base_fraction,abatement_high_fraction,abatement_unit,abatement_source_id,capex_basis,capex_inr,savings_model,asset_lifetime_years,max_substitution_fraction,blocked_sectors,sector_caps,difficulty_score_1_to_5,disruption_downtime_days,confidence_tier,evidence_notes,actual_vendor_quote_required
"INT-COMP-AIR","Compressed Air Ultrasonic Leak Detection & Tagged Repair","energy","electricity","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.02,0.04,0.065,"fraction_of_target_stream","SRC-BEE-MAPPING","fixed_survey_kit",120000,"avoided_purchase",3,,"","{}",1,0,"HIGH","Ultrasonic survey plus repair of identified leaks across distribution manifolds and couplings.",true
"INT-VFD","Variable Frequency Drives on Draft Fans and Pumping Loops","energy","electricity","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.05,0.08,0.12,"fraction_of_target_stream","SRC-BEE-MAPPING","per_kw",350000,"avoided_purchase",10,,"","{}",2,1,"HIGH","BEE DPR documented savings on fluctuating motor loads.",true
"INT-IE4-MOTOR","IE4 Super Premium Efficiency Motor Retrofits","energy","electricity","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.03,0.05,0.07,"fraction_of_target_stream","SRC-IEC-60034","per_unit",480000,"avoided_purchase",12,,"","{}",2,1,"HIGH","IEC 60034-30-1 standard efficiency gains over standard IE1/IE2 motors.",true
"INT-LED-LIGHTING","Industrial High-Bay LED Retrofit & Occupancy Sensors","energy","electricity","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.015,0.025,0.04,"fraction_of_target_stream","SRC-BEE-MAPPING","plant_area",150000,"avoided_purchase",5,,"","{}",1,0,"HIGH","Straightforward lighting load reduction.",true
"INT-IDLE-SHUTDOWN","Automated Non-Operational Load Interlocking & Sub-metering","energy","electricity","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.02,0.045,0.06,"fraction_of_target_stream","SRC-BEE-MAPPING","controls",95000,"avoided_purchase",5,,"","{}",1,0,"MEDIUM","Eliminates idle load; caveats note savings decay without continuous monitoring.",true
"INT-SOLAR-ROOFTOP","Captive Rooftop Solar PV Installation","energy","electricity","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.15,0.25,0.35,"fraction_of_target_stream","SRC-BEE-MAPPING","per_kwp",21700000,"avoided_purchase",25,,"","{}",3,3,"HIGH","Replaces grid import with zero-marginal cost self-generation.",true
"INT-OPEN-ACCESS","Group Captive / Green Open Access PPA","energy","electricity","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.3,0.5,0.7,"fraction_of_target_stream","SRC-BEE-MAPPING","equity_collateral",2500000,"tariff_delta",15,,"","{}",4,0,"MEDIUM","Tariff delta savings model; cross-subsidy surcharges can compress margin.",true
"INT-BOILER-ECONOMIZER","Flue Gas Waste Heat Recovery Economizer for Steam Boiler","energy","thermal_fuel","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.04,0.06,0.08,"fraction_of_target_stream","SRC-BEE-MAPPING","per_boiler",650000,"avoided_purchase",10,,"","{}",2,2,"HIGH","Recovers boiler sensible flue heat to preheat boiler feed water.",true
"INT-STEAM-TRAP","Steam Trap Maintenance, Acoustic Testing & Insulation","energy","thermal_fuel","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.03,0.05,0.08,"fraction_of_target_stream","SRC-BEE-MAPPING","network",180000,"avoided_purchase",4,,"","{}",1,0,"HIGH","Repairs live steam blowing traps and uninsulated lines.",true
"INT-WHR-KILN","Hot Air Recirculation & Kiln Waste Heat Recovery","energy","thermal_fuel","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; paper_packaging; fabrication; chemicals",0.06,0.1,0.14,"fraction_of_target_stream","SRC-BEE-MAPPING","ductwork",1250000,"avoided_purchase",8,,"pharma_formulation; plastic_moulding","{}",3,4,"MEDIUM","Exhaust ducting from cooling zone to combustion air preheating.",true
